widget_name,widget_type,required,height,options_type,options_table,options_column,options_uuid,parameters_filter,misc_filter,values_type,values_table,values_column,values_uuid,links_to,geo_section,geo_required,geo_title,description
Title,TextAreaInput,1,30,free_text,,,,,,free_text,folder,title,,folder_uuid,STUDY,1,title,Unique title (fewer than 255 characters) that describes the overall study.  A working title from the associated manuscript may be suitable.
Summary (Abstract),TextAreaInput,1,200,free_text,,,,,,free_text,folder,summary,,folder_uuid,STUDY,1,summary (abstract),Thorough description of the goals and objectives of this study.  A working abstract from the associated manuscript may be suitable.  Include as much text as necessary.
Experimental Design,TextAreaInput,1,100,free_text,,,,,,free_text,folder,experimental_design,,folder_uuid,STUDY,1,experimental design,"Describe the type of SAMPLES included in the submission, as well as the experimental conditions and variables under investigation.

Include what types of Samples are analyzed, if replicates are included, are there control and/or reference Samples, etc.

Do not include protocols/methods.

Still not sure what to include?  
Refer to the ""experimental design"" in the EXAMPLE sheets."
Collaborator,MultiChoice (many),1,,table,researcher,researcher_name,researcher_uuid,,,table_link,researcher_folder,researcher_name,researcher_uuid,folder_uuid,STUDY,0,contributor,"Format:  Firstname, Initial, Lastname

Example:  Jane, Doe
Example:  Yixin, Wang
Example:  John, H, Smith
Example:  Charles,E,Determan Jr
Example:  Monique,G,van der Wijst
Example:  Mark, Anderson Dumont

Each contributor on a separate line.
Add as many contributor lines as needed."
Lab,MultiChoice (many),1,,table,parameter,parameter_name,parameter_uuid,lab,,table_link,parameter_folder,parameter_name,parameter_uuid,folder_uuid,,,,
Collaborating Institute,MultiChoice (many),0,,table,parameter,parameter_name,parameter_uuid,institute,and parameter.parameter_name != 'Coriell Institute for Medical Research',table_link,parameter_folder,parameter_name,parameter_uuid,folder_uuid,,,,
Study,MultiChoice (many),0,,table,parameter,parameter_name,parameter_uuid,study,,table_link,parameter_folder,parameter_name,parameter_uuid,folder_uuid,,,,
Growth Protocol,TextAreaInput,0,100,free_text,,,,,,free_text,folder,growth_protocol,,folder_uuid,PROTOCOLS,0,growth protocol,[Optional]  Describe the conditions used to grow or maintain organisms or cells prior to extract preparation.
Treatment Protocol,TextAreaInput,0,100,free_text,,,,,,free_text,folder,treatment_protocol,,folder_uuid,PROTOCOLS,0,treatment protocol,[Optional] Describe the treatments applied to the biological material prior to extract preparation.
Extract Protocol,TextAreaInput,0,100,free_text,,,,,,free_text,folder,extract_protocol,,folder_uuid,PROTOCOLS,1,extract protocol,Describe the protocols used to extract and prepare the material to be sequenced. 
Library Construction Protocol,TextAreaInput,0,100,free_text,,,,,,free_text,folder,library_construction_protocol,,folder_uuid,PROTOCOLS,1,library construction protocol,Describe the library construction protocol.
