Filepath,Match Status,Folder Name,Sample Name,Sample Number,Lane Number,Read
CUH01110_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01110_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00648_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00648_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00689_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00689_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00973_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00973_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01273_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01273_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01219R_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01219R_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00921_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00921_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01182_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01182_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
ND38531_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
ND38531_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
water2_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
water2_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
ND45429R_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
ND45429R_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01207_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01207_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01197_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01197_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01306_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01306_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
JU2023_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
JU2023_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01329_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01329_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01031_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01031_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01122_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01122_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00872_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00872_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01338_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01338_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00628_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00628_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01112_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01112_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
ND40405_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
ND40405_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00762_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00762_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00932_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00932_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00530_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00530_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01182R_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01182R_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00721_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00721_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00553_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH00553_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
ND36126_CKDL240010629-1A_22JMMTLT3_L8_2,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
ND36126_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
CUH01293_CKDL240010629-1A_22JMMTLT3_L8_1,Unmatched,2024-04-10_chip_ampliseq_jj,,,,
