date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,folder_uuid
2024-04-10,../../../../mnt/data/research_data/2024-04-10_chip_ampliseq_jj,2024-04-10_chip_ampliseq_jj,_chip_ampliseq_jj,,,,CBIX,7c0a3f92-7d6f-4e6b-a20d-3ac51fbf962a
2019-08-16,../../../../mnt/data/research_data/2019-08-16_gencove_CORI,2019-08-16_gencove_CORI,_gencove_cori,laura cori samples,Laura CORI samples,low pass WGS,CBIX,3d4385db-351e-4047-b307-97f1911c1115
2022-09-06,../../../../mnt/data/research_data/2022-09-06_rnaseq_human_mcf7_platoff_cooper,2022-09-06_rnaseq_human_mcf7_platoff_cooper,_rnaseq_human_mcf7_platoff_cooper,cooper human,Cooper human,RNA-seq,CBIX,caff7979-1817-471c-aa07-f43c4363f21b
2019-08-29,../../../../mnt/data/research_data/2019-08-29_rrbs39_himani_intestine_12month,2019-08-29_rrbs39_himani_intestine_12month,_rrbs39_himani_intestine_12month,himani mouse intestine and colon young old,Himani mouse intestine and colon young old,RRBS,CBIX,42bd9bef-9556-40e0-86cb-cf32d8d8fa44
2022-02-24,../../../../mnt/data/research_data/2022-02-24_25_bis_amplicon_cori_op1,2022-02-24_25_bis_amplicon_cori_op1,_25_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,11c594c2-b76f-4f1b-81c8-114168235dbb
2023-01-20,../../../../mnt/data/research_data/2023-01-20_sc_rnaseq_mouse_intestine_miseq,2023-01-20_sc_rnaseq_mouse_intestine_miseq,_sc_rnaseq_mouse_intestine_miseq,himani mouse intestine,Himani mouse intestine,scRNA-seq,CBIX,948435c3-1f66-47b3-b99f-8ed505329304
2023-06-09,../../../../mnt/data/research_data/2023-06-09_rnaseq_human_shoghag,2023-06-09_rnaseq_human_shoghag,_rnaseq_human_shoghag,,,,CBIX,78e72b7f-ad09-456d-baf6-854ca75b2ba9
2020-06-24,../../../../mnt/data/research_data/2020-06-24_rnaseq_mouse_hyeseon,2020-06-24_rnaseq_mouse_hyeseon,_rnaseq_mouse_hyeseon,hyeseon mouse aorta endothelial cells young old,HyeSeon mouse aorta endothelial cells young old,RNA-seq,CBIX,d3ba7f42-eaf8-4181-bc11-5f3c09807890
2019-06-06,../../../../mnt/data/research_data/2019-06-06_CutRun_Som,2019-06-06_CutRun_Som,_cutrun_som,"som brg, k9me3, cdk9, k9me3","Som BRG, K9me3, CDK9, K9me3",Cut&Run,CBIX,9b608f1d-a99a-46d9-b58f-ff13edbb9d80
2020-07-31,../../../../mnt/data/research_data/2020-07-31_scRNAseq_10X_jian,2020-07-31_scRNAseq_10X_jian,_scrnaseq_10x_jian,jian huang mouse tet+/- evi+/-,Jian Huang mouse TET+/- EVI+/-,scRNA-seq,CBIX,e724f426-5bec-477d-8594-d70cd79711cc
2023-01-18,../../../../mnt/data/research_data/2023-01-18_bisamp_colon_tumors_peace,2023-01-18_bisamp_colon_tumors_peace,_bisamp_colon_tumors_peace,peace colon tumors,Peace colon tumors,bisamp,CBIX,869c62fe-4224-4896-af80-eb72a91cb7c4
2019-07-17,../../../../mnt/data/research_data/2019-07-17_rrbs24B_redownload,2019-07-17_rrbs24B_redownload,_rrbs24b_redownload,himani mouse intestine and colon,Himani mouse intestine and colon,RRBS,CBIX,0109750c-cecc-4e4f-b2d2-57a327a7586a
2022-12-22,../../../../mnt/data/research_data/2022-12-22_bisamp_oldhigh_mpb_nano,2022-12-22_bisamp_oldhigh_mpb_nano,_bisamp_oldhigh_mpb_nano,jj mpb oldhigh targets,JJ MPB oldhigh targets,bisamp,CBIX,c56c1a97-3ca0-457e-a606-f32b0e767e7b
2023-06-13,../../../../mnt/data/research_data/2023-06-13_bisamp_x15_colon_left,2023-06-13_bisamp_x15_colon_left,_bisamp_x15_colon_left,,,,CBIX,b8d5abf2-2853-4e3d-8472-0221d88e9bbe
2023-03-22,../../../../mnt/data/research_data/2023-03-22_rnaseq_human_mouse_diego,2023-03-22_rnaseq_human_mouse_diego,_rnaseq_human_mouse_diego,,,,CBIX,e759478f-65f2-4d20-b2af-f97df37e7624
2022-09-30,../../../../mnt/data/research_data/2022-09-30_sc_atac_seq_human_brain_miseq_nano,2022-09-30_sc_atac_seq_human_brain_miseq_nano,_sc_atac_seq_human_brain_miseq_nano,jj human brain,JJ human brain,scATAC-seq,CBIX,43f592b3-996e-496e-852b-839e64638950
2023-03-21,../../../../mnt/data/research_data/2023-03-21_rnaseq_human_almedia,2023-03-21_rnaseq_human_almedia,_rnaseq_human_almedia,,,,CBIX,3218383b-88b6-4be5-864f-70ad3f3c5805
2021-10-27,../../../../mnt/data/research_data/2021-10-27_bis_amplicon_cooper2x48,2021-10-27_bis_amplicon_cooper2x48,_bis_amplicon_cooper2x48,woonbok cooper blood,Woonbok Cooper blood,bisamp,CBIX,f181edcd-047f-47f2-b6fb-efa7dcc3795f
2021-08-03,../../../../mnt/data/research_data/2021-08-03_cooper_blood92,2021-08-03_cooper_blood92,_cooper_blood92,woonbok cooper blood,Woonbok Cooper blood,bisamp,CBIX,fecb3fb3-14b3-40b6-87df-c9756192f760
2022-09-29,../../../../mnt/data/research_data/2022-09-29_rnaseq_human_miapaca2_gigi_cooper,2022-09-29_rnaseq_human_miapaca2_gigi_cooper,_rnaseq_human_miapaca2_gigi_cooper,cooper human,Cooper human,RNA-seq,CBIX,720a24eb-87a9-4e17-b085-caf443c372f2
2022-02-10,../../../../mnt/data/research_data/2022-02-10_hek_scrna_miseq_nano,2022-02-10_hek_scrna_miseq_nano,_hek_scrna_miseq_nano,jj 10x chromium test,JJ 10X Chromium test,scRNA-seq,CBIX,9afcbb89-7dc8-4034-9631-e839953db4bd
2023-05-25,../../../../mnt/data/research_data/2023-05-25_bisamp_x15_leukemia,2023-05-25_bisamp_x15_leukemia,_bisamp_x15_leukemia,,,,CBIX,76b15dfd-2f03-4dc0-b61b-d1e862caf47b
