seqcompany_uuid,folder_uuid
4985fb78-75c5-4040-a116-2cf0db9cdccb,3d4385db-351e-4047-b307-97f1911c1115
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,948435c3-1f66-47b3-b99f-8ed505329304
39c978fe-680b-4001-8819-9ad47b6bca6f,e724f426-5bec-477d-8594-d70cd79711cc
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,43f592b3-996e-496e-852b-839e64638950
39c978fe-680b-4001-8819-9ad47b6bca6f,9afcbb89-7dc8-4034-9631-e839953db4bd
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,9afcbb89-7dc8-4034-9631-e839953db4bd
39c978fe-680b-4001-8819-9ad47b6bca6f,9b85e7ee-a34d-4f58-b923-ee60670c1a57
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,8d456602-3fd2-4fef-958f-b98f9c37a5f6
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,5853c90a-a4ee-45f4-b98f-15850df9cade
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,a0cdedc7-bbca-492d-a5f5-c00ac10115b7
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,2f948e29-cf41-4182-bd6b-496e14ab0372
e47aa3aa-6d38-45af-b05d-df9ecbba6fa5,4806258f-a2fd-41c0-b203-e62e93fd850f
e47aa3aa-6d38-45af-b05d-df9ecbba6fa5,fc16d6fe-8e44-49e9-9d63-d0bb72ef9ca7
4985fb78-75c5-4040-a116-2cf0db9cdccb,3ceedd79-399c-43e7-a4d8-0100336b7eb9
39c978fe-680b-4001-8819-9ad47b6bca6f,29d0a043-0638-470e-9160-d852c576eec5
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,60858eaf-f3d3-409a-b468-c92f70f2011c
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,9dabf039-59ed-4675-929e-105feaf9f60c
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,42cc4696-bc07-4379-ac0e-cbbb9ff081a1
ae755ecf-054b-4f5c-bbfd-94d0821933a7,f0fec7cc-d3a4-470b-8d74-b4c1423f62b8
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,8d29a59e-95f8-49ed-bdc4-5d588f3c558a
3ebea1ac-1472-4cc2-a0ef-db41c764d72f,6ae93e56-ffde-43a3-9fe9-d49f5a0f4c08
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,5a687b84-5a29-4a55-a7f9-4e0c8f82cb92
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,8cbf9eb3-c4f7-4ecf-b946-95c7ac170334
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,6e4009b2-1104-4f0d-8179-45ed45460be7
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,3f574081-7558-477a-9e4a-192a585ac86d
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,6e26caf3-0923-4736-99dc-e86090c1066a
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,f17aaff1-9b88-4d26-8be9-77072174f769
e47aa3aa-6d38-45af-b05d-df9ecbba6fa5,e3588eb5-cf8c-4243-af5f-deea859f7c03
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,674e903b-15c3-4e31-9aaa-9f2aed336d6b
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,351a0621-ebb4-41f5-8607-f59b2ab9bff5
3ebea1ac-1472-4cc2-a0ef-db41c764d72f,fbe14422-2dd2-48ac-a347-5e08bb0e589d
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,7627a2f9-1f50-4793-a8ce-314e114b1c75
3ebea1ac-1472-4cc2-a0ef-db41c764d72f,b597bc52-c994-4868-9b87-2dd7310f0039
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,4f6c6a55-ac7a-43c1-809c-4610b151cc77
354232ce-bc4f-4f6e-aeda-0811ac272293,0cd9b183-11b3-434a-81f2-3e2fd9e882ea
ae755ecf-054b-4f5c-bbfd-94d0821933a7,2f2831b0-63f9-42aa-8665-3dcd5af3a80c
7b8d8bd6-37de-4780-b3a8-11b06a15c7b6,444f728e-15d4-4491-af2b-ac9d7501f74d
f01b2baa-e5cf-4516-90b0-c7ce8417b0cf,bf32e55d-f752-4daa-a520-4369ea0e305d
abd724c1-c83a-4426-a211-8b5115db5136,6a61d5fe-40f9-45d5-a0d1-0b47019d7264
000a6050-4dab-45f6-bdb6-d117ed24742c,6a61d5fe-40f9-45d5-a0d1-0b47019d7264
