tissue_uuid,folder_uuid
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,42bd9bef-9556-40e0-86cb-cf32d8d8fa44
b2735f64-3f66-434f-9962-55d1dd2e9a57,42bd9bef-9556-40e0-86cb-cf32d8d8fa44
b942e990-155f-4b5c-9ae3-80173fa1cde3,11c594c2-b76f-4f1b-81c8-114168235dbb
b2735f64-3f66-434f-9962-55d1dd2e9a57,948435c3-1f66-47b3-b99f-8ed505329304
2a81b63d-b37d-49cc-a3fa-9151f7cfd668,d3ba7f42-eaf8-4181-bc11-5f3c09807890
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,869c62fe-4224-4896-af80-eb72a91cb7c4
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,0109750c-cecc-4e4f-b2d2-57a327a7586a
b2735f64-3f66-434f-9962-55d1dd2e9a57,0109750c-cecc-4e4f-b2d2-57a327a7586a
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,b8d5abf2-2853-4e3d-8472-0221d88e9bbe
ae6df4f3-e773-4204-9265-48ba9bc40c8c,43f592b3-996e-496e-852b-839e64638950
841cf322-b49c-435a-84a3-4cbe114bfded,f181edcd-047f-47f2-b6fb-efa7dcc3795f
841cf322-b49c-435a-84a3-4cbe114bfded,fecb3fb3-14b3-40b6-87df-c9756192f760
ae6df4f3-e773-4204-9265-48ba9bc40c8c,9b85e7ee-a34d-4f58-b923-ee60670c1a57
ae6df4f3-e773-4204-9265-48ba9bc40c8c,4e5de8b9-b1de-42a3-ad1a-a59cd4d835c2
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,8d456602-3fd2-4fef-958f-b98f9c37a5f6
b2735f64-3f66-434f-9962-55d1dd2e9a57,93ede2d5-cca5-47c4-9120-050f24d90762
b2735f64-3f66-434f-9962-55d1dd2e9a57,e31b4613-7124-4d00-b5d8-5388cd3020d4
cf7c6d00-9b8d-4134-96e5-117c16ee8422,ce89e4e1-273d-477e-9ee1-0d71d217b3f7
841cf322-b49c-435a-84a3-4cbe114bfded,5853c90a-a4ee-45f4-b98f-15850df9cade
dcb2f51a-83ba-4d44-8e44-6683c718c39e,5853c90a-a4ee-45f4-b98f-15850df9cade
45a596cb-d32d-452e-b0b9-31862e928292,5853c90a-a4ee-45f4-b98f-15850df9cade
cf7c6d00-9b8d-4134-96e5-117c16ee8422,5853c90a-a4ee-45f4-b98f-15850df9cade
ae6df4f3-e773-4204-9265-48ba9bc40c8c,5853c90a-a4ee-45f4-b98f-15850df9cade
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,7c255596-90a6-4f76-b926-f64ec176733a
b942e990-155f-4b5c-9ae3-80173fa1cde3,9870987d-18ca-46e7-8c22-0aafe9773e72
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,fa1ed267-ec6e-41e6-8e1a-651302857021
841cf322-b49c-435a-84a3-4cbe114bfded,a0cdedc7-bbca-492d-a5f5-c00ac10115b7
b942e990-155f-4b5c-9ae3-80173fa1cde3,5b86fb83-752e-4cd5-93d2-776f0ba4bab1
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,5b86fb83-752e-4cd5-93d2-776f0ba4bab1
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,96163745-96de-4d0d-8cf5-e3acf8cfac24
ae6df4f3-e773-4204-9265-48ba9bc40c8c,e1e817a3-ac82-4046-a8c8-4b7d5dd900ea
841cf322-b49c-435a-84a3-4cbe114bfded,ed97843b-ad4e-4d54-9326-881f6e1eaa2a
45a596cb-d32d-452e-b0b9-31862e928292,ed97843b-ad4e-4d54-9326-881f6e1eaa2a
3cda6369-9d25-4ea3-9d23-1d99b852662c,91c5e347-a520-4e6e-a9df-91c623e62993
841cf322-b49c-435a-84a3-4cbe114bfded,91c5e347-a520-4e6e-a9df-91c623e62993
b942e990-155f-4b5c-9ae3-80173fa1cde3,1ef2a602-0dfb-44ce-8e5f-a974c666ee9d
ae6df4f3-e773-4204-9265-48ba9bc40c8c,f30b9daa-3ddc-49d9-9267-53c4dd7afec4
141a6ef8-42d5-4b0e-82f1-385a5db54a6b,4806258f-a2fd-41c0-b203-e62e93fd850f
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,4806258f-a2fd-41c0-b203-e62e93fd850f
841cf322-b49c-435a-84a3-4cbe114bfded,aae4d5d9-6a4e-440e-b6f6-74ee93b7304b
b942e990-155f-4b5c-9ae3-80173fa1cde3,aae4d5d9-6a4e-440e-b6f6-74ee93b7304b
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,fc16d6fe-8e44-49e9-9d63-d0bb72ef9ca7
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,e4ba51f0-6462-4725-9e8a-6e52ab616008
b2735f64-3f66-434f-9962-55d1dd2e9a57,e4ba51f0-6462-4725-9e8a-6e52ab616008
b942e990-155f-4b5c-9ae3-80173fa1cde3,157d6770-f5b3-47bd-9bed-1f447b1dbc4d
2c15ea09-8559-4228-ade2-ec9cd8349142,357376c3-1279-454b-a43d-cf89949586fd
7600132b-8b0f-4a50-9c6e-95877f7cc2ab,60858eaf-f3d3-409a-b468-c92f70f2011c
841cf322-b49c-435a-84a3-4cbe114bfded,9bf9ee0f-ac36-433d-88ce-501e109d4f74
b942e990-155f-4b5c-9ae3-80173fa1cde3,9bf9ee0f-ac36-433d-88ce-501e109d4f74
ae6df4f3-e773-4204-9265-48ba9bc40c8c,beab368e-5709-4111-a87a-99455db7de90
841cf322-b49c-435a-84a3-4cbe114bfded,420a54ed-7037-49d8-8f90-af058399ec76
b942e990-155f-4b5c-9ae3-80173fa1cde3,420a54ed-7037-49d8-8f90-af058399ec76
b942e990-155f-4b5c-9ae3-80173fa1cde3,2a833b3f-6ca5-427e-970e-9c50e2ca413d
841cf322-b49c-435a-84a3-4cbe114bfded,f9347d3a-ab10-4c74-bb4d-0ed9e3bfb0b0
b942e990-155f-4b5c-9ae3-80173fa1cde3,f9347d3a-ab10-4c74-bb4d-0ed9e3bfb0b0
ae6df4f3-e773-4204-9265-48ba9bc40c8c,c0bb3a5c-412b-49b2-a73b-193e02335300
