date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,disease_category,disease_category_jj,partner,study,experiment,organism,tissue,cell_type,sample,disease,cell_line,gene/protein,treatment,lab,employee,company,.zip_counts,.json_counts,.bam_counts,.tsv_counts,.csv_counts,.gz_counts,.txt_counts
2019-08-16,../../mnt/data/research_data/2019-08-16_gencove_CORI,2019-08-16_gencove_CORI,__,  samples,Laura CORI samples,low pass WGS,CBIX,,,Camden Opioid Research Initiative (CORI),,Whole Genome Sequencing (WGS),,,,,,,,,The Scheinfeldt Lab,Laura Scheinfeldt,Gencove,0,32,32,0,0,128,0
2022-09-06,../../mnt/data/research_data/2022-09-06_rnaseq_human_mcf7_platoff_cooper,2022-09-06_rnaseq_human_mcf7_platoff_cooper,____platoff_, ,Cooper human,RNA-seq,CBIX,Cancer (Breast),,Cooper,,RNA-seq,Human,,Epithelial Cell,,Adenocarcinoma,MFC-7,,,,,,50,36,0,18,1,168,54
2019-08-29,../../mnt/data/research_data/2019-08-29_rrbs39_himani_intestine_12month,2019-08-29_rrbs39_himani_intestine_12month,_39___12month,   and   old,Himani mouse intestine and colon young old,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Colon,Intestine",,,Aging,,,,The Issa & Jelenik Lab,Himani Vaidya,,16,0,32,0,1,416,133
2022-02-24,../../mnt/data/research_data/2022-02-24_25_bis_amplicon_cori_op1,2022-02-24_25_bis_amplicon_cori_op1,_25___op1,    ,Woonbok saliva CORI Optin Goals,bisamp,CBIX,Addiction,,Camden Opioid Research Initiative (CORI),"Genomics of Opioid Addiction Longitudinal Study (GOALS) Study,Optimizing Pain Treatment In New Jersey (OPTIN) Study",Bisulfite Amplicon (BSAS),Human,Saliva,,,Opioid Use Disorder,,,,The Issa & Jelenik Lab,Woonbok Chung,,0,0,190,574,4,1520,385
2023-01-20,../../mnt/data/research_data/2023-01-20_sc_rnaseq_mouse_intestine_miseq,2023-01-20_sc_rnaseq_mouse_intestine_miseq,____,  ,Himani mouse intestine,scRNA-seq,CBIX,,,,,"Single Cell RNA-Seq (scRNA-seq),RNA-seq,MiSeq",Mouse,Intestine,,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,0,1,0,0,1,16,0
2023-06-09,../../mnt/data/research_data/2023-06-09_rnaseq_human_shoghag,2023-06-09_rnaseq_human_shoghag,___,,,,CBIX,,,,,RNA-seq,Human,,,,,,,,The Issa & Jelenik Lab,Shoghag Panjarian,,2,0,0,0,0,40,22
2020-06-24,../../mnt/data/research_data/2020-06-24_rnaseq_mouse_hyeseon,2020-06-24_rnaseq_mouse_hyeseon,___,   thelial cells  old,HyeSeon mouse aorta endothelial cells young old,RNA-seq,CBIX,,,,,RNA-seq,Mouse,Aorta,Endothelial Cells,,Aging,,,,,HyeSeon,,1,0,0,0,0,18,8
2019-06-06,../../mnt/data/research_data/2019-06-06_CutRun_Som,2019-06-06_CutRun_Som,__som,"som brg, , , ","Som BRG, K9me3, CDK9, K9me3",Cut&Run,CBIX,,,,,CUT&RUN,,,,,,,"Histone 3 (K9me3) Bivalent Methylation Factor,Cyclin-Dependent Kinase 9 (CDK9)",,,,,104,13,0,0,0,104,210
2020-07-31,../../mnt/data/research_data/2020-07-31_scRNAseq_10X_jian,2020-07-31_scRNAseq_10X_jian,_sc__, huang +/-+/-,Jian Huang mouse TET+/- EVI+/-,scRNA-seq,CBIX,,,,,"Single Cell RNA-Seq (scRNA-seq),RNA-seq",Mouse,,,,,,"Ten Eleven Translocation (TET),Ecotropic Viral Integration (EVI)",,The Jian Huang Lab,Jian Huang,10x,1,0,0,0,0,8,4
2023-01-18,../../mnt/data/research_data/2023-01-18_bisamp_colon_tumors_peace,2023-01-18_bisamp_colon_tumors_peace,___s_,  s,Peace colon tumors,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,"Tumor,Colon",,,,,,,The Issa & Jelenik Lab,Peace Park,,380,1,94,278,1,1117,468
2019-07-17,../../mnt/data/research_data/2019-07-17_rrbs24B_redownload,2019-07-17_rrbs24B_redownload,_24b_redownload,   and ,Himani mouse intestine and colon,RRBS,CBIX,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),Mouse,"Colon,Intestine",,,,,,,The Issa & Jelenik Lab,Himani Vaidya,,0,0,0,0,0,24,0
2022-12-22,../../mnt/data/research_data/2022-12-22_bisamp_oldhigh_mpb_nano,2022-12-22_bisamp_oldhigh_mpb_nano,__oldhigh_mpb_nano, mpb oldhigh targets,JJ MPB oldhigh targets,bisamp,CBIX,,,,,Bisulfite Amplicon (BSAS),,,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,64,1,16,25,0,206,80
2023-06-13,../../mnt/data/research_data/2023-06-13_bisamp_x15_colon_left,2023-06-13_bisamp_x15_colon_left,__x15__left,,,,CBIX,,,,,Bisulfite Amplicon (BSAS),,Colon,,,,,,,,,,384,0,96,296,1,1152,480
2023-03-22,../../mnt/data/research_data/2023-03-22_rnaseq_human_mouse_diego,2023-03-22_rnaseq_human_mouse_diego,____,,,,CBIX,,,,,RNA-seq,"Mouse,Human",,,,,,,,,Diego Morales,,0,0,0,0,0,2,1
2022-09-30,../../mnt/data/research_data/2022-09-30_sc_atac_seq_human_brain_miseq_nano,2022-09-30_sc_atac_seq_human_brain_miseq_nano,__seq____nano,  ,JJ human brain,scATAC-seq,CBIX,,,,,"MiSeq Nano,ATAC-seq,Single Cell ATAC-Seq (scATAC-seq),MiSeq",Human,Brain,,,,,,,The Issa & Jelenik Lab,Jaroslav Jelinek,,2,3,0,0,4,5,41
2023-03-21,../../mnt/data/research_data/2023-03-21_rnaseq_human_almedia,2023-03-21_rnaseq_human_almedia,___almedia,,,,CBIX,,,,,RNA-seq,Human,,,,,,,,,,,2,0,0,0,0,14,9
2021-10-27,../../mnt/data/research_data/2021-10-27_bis_amplicon_cooper2x48,2021-10-27_bis_amplicon_cooper2x48,__2x48,  ,Woonbok Cooper blood,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,Blood,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,960,0,192,772,4,2299,1152
2021-08-03,../../mnt/data/research_data/2021-08-03_cooper_blood92,2021-08-03_cooper_blood92,__92,  ,Woonbok Cooper blood,bisamp,CBIX,,,Cooper,,Bisulfite Amplicon (BSAS),,Blood,,,,,,,The Issa & Jelenik Lab,Woonbok Chung,,576,1,96,481,1,1154,577
2022-09-29,../../mnt/data/research_data/2022-09-29_rnaseq_human_miapaca2_gigi_cooper,2022-09-29_rnaseq_human_miapaca2_gigi_cooper,_____, ,Cooper human,RNA-seq,CBIX,,,Cooper,,RNA-seq,Human,,,,,MIA PaCa-2,,,,Gigi,,2,0,0,0,0,24,14
