date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description_x,jj_type,cbix1/2,folder_uuid,cell_line_uuid,cell_line_name_x,folder_name_x,jj_description_y,disease_uuid,disease_name_x,disease_category_x,disease_symbol_x,disease_id_ncit_x,folder_name_y,jj_description_x,experiment_uuid,gene_uuid,lab_uuid,organism_uuid,organism_name_x,folder_name_x,jj_description_y,partner_uuid,partner_name_x,folder_name_y,jj_description_x,researcher_uuid,seqcompany_uuid,seqcompany_name_x,folder_name_x,jj_description_y,treatment_uuid,treatment_name_x,treatment_symbol_x,folder_name_y,jj_description,search_term_x,cell_line_name_y,organism,Age,Sex,Population,Biopsy Source,Tissue Type,Cell Type,Category,Sub-Category,Transformant,Morphology,Disease Category,Disease,Disease Type,Disease Grade,Disease ID (NCIt),Product Format,Storage Conditions,Sequence Variations?,imsrjax_id,cellosaurus_id,atcc_id,coriell_id,disease_category_y,disease_name_y,disease_symbol_y,disease_id_ncit_y,search_term_y,search_term_x,experiment_name,experiment_symbol,subtype,experiment_category_uuid,search_term_y,gene_id_hgnc,gene_id_ncbi,gene_name,organism_name_y,gene_symbol,search_term_x,lab_name,search_term_y,organism_name,search_term_x,partner_name_y,search_term_y,researcher_name,affiliation,lab,search_term_x,seqcompany_name_y,search_term_y,treatment_name_y,treatment_symbol_y
2019-08-16,../../mnt/data/research_data/2019-08-16_gencove_CORI,2019-08-16_gencove_CORI,_gencove_cori,laura cori samples,Laura CORI samples,low pass WGS,CBIX,0ee24123-047d-4bd3-9cd0-ff1c4c746084,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2019-08-16_gencove_CORI,Laura CORI samples,084ade01-afb4-4963-af90-834d031c83e3,8632b4d5-b404-46ab-b3ae-32defb299347,Gencove,2019-08-16_gencove_CORI,Laura CORI samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cori,Camden Opioid Research Initiative (CORI),laura,Laura Scheinfeldt,Coriell,The Scheinfeldt Lab,gencove,Gencove,,,
2019-06-25,../../mnt/data/research_data/2019-06-25_gencove_CORI,2019-06-25_gencove_CORI,_gencove_cori,laura cori samples,Laura CORI samples,low pass WGS,CBIX,2444cd51-6508-4a33-8165-abb978a49c94,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,,,,,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2019-06-25_gencove_CORI,Laura CORI samples,084ade01-afb4-4963-af90-834d031c83e3,8632b4d5-b404-46ab-b3ae-32defb299347,Gencove,2019-06-25_gencove_CORI,Laura CORI samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cori,Camden Opioid Research Initiative (CORI),laura,Laura Scheinfeldt,Coriell,The Scheinfeldt Lab,gencove,Gencove,,,
2022-02-24,../../mnt/data/research_data/2022-02-24_25_bis_amplicon_cori_op1,2022-02-24_25_bis_amplicon_cori_op1,_25_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,06c4f734-d6f2-4fef-a836-c757754cb2b5,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-02-24_25_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-02-24_25_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-04-06,../../mnt/data/research_data/2022-04-06_bis_amplicon_cori_op2,2022-04-06_bis_amplicon_cori_op2,_bis_amplicon_cori_op2,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,da18444f-55ea-47b7-9867-bef2d8fee3fc,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-04-06_bis_amplicon_cori_op2,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-04-06_bis_amplicon_cori_op2,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-05-04,../../mnt/data/research_data/2022-05-04_bis_amplicon_cori_op1r2,2022-05-04_bis_amplicon_cori_op1r2,_bis_amplicon_cori_op1r2,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,0a7b8c70-04be-4355-90c5-198b973f1ea5,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-05-04_bis_amplicon_cori_op1r2,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-05-04_bis_amplicon_cori_op1r2,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-02-25,../../mnt/data/research_data/2022-02-25_bis_amplicon_cori_op1,2022-02-25_bis_amplicon_cori_op1,_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,55e05778-4992-4237-b9b5-6d08245b57df,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-02-25_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-02-25_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-06-02,../../mnt/data/research_data/2022-06-02_bis_amplicons_op3,2022-06-02_bis_amplicons_op3,_bis_amplicons_op3,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,1586632c-a78c-49e4-8fab-fa75f2330e77,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-06-02_bis_amplicons_op3,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-06-02_bis_amplicons_op3,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-02-24,../../mnt/data/research_data/2022-02-24_bis_amplicon_cori_op1,2022-02-24_bis_amplicon_cori_op1,_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,fa502832-ec02-46f2-a463-748d9cdfd252,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-02-24_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-02-24_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-03-17,../../mnt/data/research_data/2022-03-17_bis_amplicon_cori_op1r1,2022-03-17_bis_amplicon_cori_op1r1,_bis_amplicon_cori_op1r1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,51b4a0af-5565-4957-a31a-75022446a90d,,,,,,,,,,,,7cc7eb31-198e-4c35-bda7-43f48c17eb46,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-03-17_bis_amplicon_cori_op1r1,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-03-17_bis_amplicon_cori_op1r1,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-02-24,../../mnt/data/research_data/2022-02-24_25_bis_amplicon_cori_op1,2022-02-24_25_bis_amplicon_cori_op1,_25_bis_amplicon_cori_op1,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,06c4f734-d6f2-4fef-a836-c757754cb2b5,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-02-24_25_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-02-24_25_bis_amplicon_cori_op1,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
2022-04-06,../../mnt/data/research_data/2022-04-06_bis_amplicon_cori_op2,2022-04-06_bis_amplicon_cori_op2,_bis_amplicon_cori_op2,woonbok saliva cori optin goals,Woonbok saliva CORI Optin Goals,bisamp,CBIX,da18444f-55ea-47b7-9867-bef2d8fee3fc,,,,,,,,,,,,6758e556-d0c9-4296-b6bf-e291054d604c,,,113050df-9733-46ae-be43-9ff1e6a4fe4e,Human,2022-04-06_bis_amplicon_cori_op2,Woonbok saliva CORI Optin Goals,dac9a4bc-f593-4f02-a5b5-9894bf1ff037,Camden Opioid Research Initiative (CORI),2022-04-06_bis_amplicon_cori_op2,Woonbok saliva CORI Optin Goals,276d1de8-04d3-4dee-ad88-5e3ae517f3a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,hek,goals,optin,hwgs",Human,cori,Camden Opioid Research Initiative (CORI),woonbok,Woonbok Chung,Coriell,The Issa & Jelenik Lab,,,,,
