date,folderpath,foldername,reduced_foldername,reduced_jjdescription,jj_description,jj_type,cbix1/2,folder_uuid,cell_uuid,cell_line_uuid,disease_uuid,experiment_uuid,gene_uuid,institute_uuid,lab_uuid,organism_uuid,researcher_uuid,seqcompany_uuid,study_uuid,tissue_uuid,treatment_uuid,cell_name,cell_id_uberon,cell_line_name,age,sex,population,biopsy_source,category,sub_category,transformant,morphology,product_format,storage_conditions,imsrjax_id,cellosaurus_id,atcc_id,coriell_id,disease_category,disease_name,disease_symbol,disease_id_ncit,experiment_name,experiment_symbol,subtype,experiment_category_uuid,gene_id_hgnc,gene_id_ncbi,gene_name,gene_symbol,institute_name,lab_name,organism_name,latin_name,taxonomy_id_ncbi,researcher_name,institute,lab,seqcompany_name,study_name,tissue_name,tissue_id_bto,tissue_id_uberon,treatment_name,treatment_symbol
2024-04-10,../../mnt/data/research_data/2024-04-10_chip_ampliseq_jj,2024-04-10_chip_ampliseq_jj,_chip_ampliseq_jj,,,,CBIX,dfbda460-8564-4518-93ec-db079ddb8f1a,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,,df90625e-9d87-4ad1-88dc-b87ed2d3fea9,,88de69b2-a27f-4d7c-bab4-a685fdea1bb5,,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,The Issa & Jelenik Lab,,,,Jaroslav Jelinek,Coriell,The Issa & Jelenik Lab,,,,,,,
2024-04-10,../../mnt/data/research_data/2024-04-10_chip_ampliseq_jj,2024-04-10_chip_ampliseq_jj,_chip_ampliseq_jj,,,,CBIX,dfbda460-8564-4518-93ec-db079ddb8f1a,,,,45a187e0-c1c5-4055-84be-95a397911b15,,,df90625e-9d87-4ad1-88dc-b87ed2d3fea9,,88de69b2-a27f-4d7c-bab4-a685fdea1bb5,,,,,,,,,,,,,,,,,,,,,,,,,,Chromatin Immunoprecipitation Sequencing (ChIP-Seq),ChIP-Seq,,96d2c5b8-eaf2-43de-ad63-f854c2300b17,,,,,,The Issa & Jelenik Lab,,,,Jaroslav Jelinek,Coriell,The Issa & Jelenik Lab,,,,,,,
2024-04-10,../../mnt/data/research_data/2024-04-10_chip_ampliseq_jj,2024-04-10_chip_ampliseq_jj,_chip_ampliseq_jj,,,,CBIX,dfbda460-8564-4518-93ec-db079ddb8f1a,,,,e48a7c09-2527-455a-aab8-0c7f7c00539d,,,df90625e-9d87-4ad1-88dc-b87ed2d3fea9,,88de69b2-a27f-4d7c-bab4-a685fdea1bb5,,,,,,,,,,,,,,,,,,,,,,,,,,Bisulfite Amplicon Sequencing (BSAS),BSAS,,d5231339-777e-4ca9-9de7-29aa7266cb0f,,,,,,The Issa & Jelenik Lab,,,,Jaroslav Jelinek,Coriell,The Issa & Jelenik Lab,,,,,,,
2019-08-16,../../mnt/data/research_data/2019-08-16_gencove_CORI,2019-08-16_gencove_CORI,_gencove_cori,laura cori samples,Laura CORI samples,low pass WGS,CBIX,f2c79409-ee19-409c-b085-8e20786dd7a1,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,4cc247bc-1b1c-4d56-be0a-ee4276764ec9,,,2f4b5c5d-78d8-43a4-8e74-d2cdf75b7f4f,f98d0762-5658-42ef-aa53-50d91b12b371,,,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,Camden Opioid Research Initiative (CORI),,,,,Laura Scheinfeldt,Coriell,The Scheinfeldt Lab,Gencove,,,,,,
2022-09-06,../../mnt/data/research_data/2022-09-06_rnaseq_human_mcf7_platoff_cooper,2022-09-06_rnaseq_human_mcf7_platoff_cooper,_rnaseq_human_mcf7_platoff_cooper,cooper human,Cooper human,RNA-seq,CBIX,6767acbd-57d7-4ae5-832a-d5af14f28971,,d7cd97be-d0e4-4739-9642-eeeca1809fe1,,34cdc9db-aef8-4a85-b620-e7ddf926d446,,05520901-2504-446c-917d-d240ddaf479f,,dec9a0c6-e6ac-4c73-a438-e07d2f8e3884,07d5ae91-ef41-4339-8b2b-5a8ac952b465,,,,,,,MCF7,69Y,Female,Caucasian,"Breast, Mammary Gland",Cancer cell line,,,Epithelial,Frozen,Vapor phase of liquid nitrogen,,CVCL_0031,HTB-22,,,,,,RNA-Seq,RNA-Seq,,6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,Cooper University Hospital (CUH),,Human,Homo sapiens,9606,Rebecca Platoff,Cooper University Hospital (CUH),,,,,,,,
2022-09-06,../../mnt/data/research_data/2022-09-06_rnaseq_human_mcf7_platoff_cooper,2022-09-06_rnaseq_human_mcf7_platoff_cooper,_rnaseq_human_mcf7_platoff_cooper,cooper human,Cooper human,RNA-seq,CBIX,6767acbd-57d7-4ae5-832a-d5af14f28971,,d7cd97be-d0e4-4739-9642-eeeca1809fe1,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,05520901-2504-446c-917d-d240ddaf479f,,dec9a0c6-e6ac-4c73-a438-e07d2f8e3884,07d5ae91-ef41-4339-8b2b-5a8ac952b465,,,,,,,MCF7,69Y,Female,Caucasian,"Breast, Mammary Gland",Cancer cell line,,,Epithelial,Frozen,Vapor phase of liquid nitrogen,,CVCL_0031,HTB-22,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,Cooper University Hospital (CUH),,Human,Homo sapiens,9606,Rebecca Platoff,Cooper University Hospital (CUH),,,,,,,,
2019-08-29,../../mnt/data/research_data/2019-08-29_rrbs39_himani_intestine_12month,2019-08-29_rrbs39_himani_intestine_12month,_rrbs39_himani_intestine_12month,himani mouse intestine and colon young old,Himani mouse intestine and colon young old,RRBS,CBIX,6e797f1d-43d5-4fd1-a3b4-9dbb9ce484ff,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,,,00545a01-4032-4713-ab5f-2a4414d3d130,f37686a5-7ce9-42b0-8afd-dceff66be278,,,3c29f4bb-0344-4ac2-a047-0b40fc2c964c,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,Mouse,Mus musculus,1758,Himani Vaidya,Coriell,The Issa & Jelenik Lab,,,Colon,TO_0000269,UBERON_0001155,,
2019-08-29,../../mnt/data/research_data/2019-08-29_rrbs39_himani_intestine_12month,2019-08-29_rrbs39_himani_intestine_12month,_rrbs39_himani_intestine_12month,himani mouse intestine and colon young old,Himani mouse intestine and colon young old,RRBS,CBIX,6e797f1d-43d5-4fd1-a3b4-9dbb9ce484ff,,,,ff8e9d52-f213-4a09-a7c3-3db102b2f5f3,,,,00545a01-4032-4713-ab5f-2a4414d3d130,f37686a5-7ce9-42b0-8afd-dceff66be278,,,710cb968-9245-4b74-bcf2-7b694e4a8f7b,,,,,,,,,,,,,,,,,,,,,,,RNA-Seq,RNA-Seq,Single Cell RNA-Seq (scRNA-seq),6c9fc76a-c825-43ae-be0c-e3fba627ba54,,,,,,,Mouse,Mus musculus,1758,Himani Vaidya,Coriell,The Issa & Jelenik Lab,,,Intestine,BTO_0000648,UBERON_0000160,,
2019-08-29,../../mnt/data/research_data/2019-08-29_rrbs39_himani_intestine_12month,2019-08-29_rrbs39_himani_intestine_12month,_rrbs39_himani_intestine_12month,himani mouse intestine and colon young old,Himani mouse intestine and colon young old,RRBS,CBIX,6e797f1d-43d5-4fd1-a3b4-9dbb9ce484ff,,,,151945b9-9034-43c8-9ac2-102b179d9f2b,,,,00545a01-4032-4713-ab5f-2a4414d3d130,f37686a5-7ce9-42b0-8afd-dceff66be278,,,3c29f4bb-0344-4ac2-a047-0b40fc2c964c,,,,,,,,,,,,,,,,,,,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),RRBS-Seq,,32a31bfc-0de6-4689-b7f9-314f56af2373,,,,,,,Mouse,Mus musculus,1758,Himani Vaidya,Coriell,The Issa & Jelenik Lab,,,Colon,TO_0000269,UBERON_0001155,,
2019-08-29,../../mnt/data/research_data/2019-08-29_rrbs39_himani_intestine_12month,2019-08-29_rrbs39_himani_intestine_12month,_rrbs39_himani_intestine_12month,himani mouse intestine and colon young old,Himani mouse intestine and colon young old,RRBS,CBIX,6e797f1d-43d5-4fd1-a3b4-9dbb9ce484ff,,,,151945b9-9034-43c8-9ac2-102b179d9f2b,,,,00545a01-4032-4713-ab5f-2a4414d3d130,f37686a5-7ce9-42b0-8afd-dceff66be278,,,710cb968-9245-4b74-bcf2-7b694e4a8f7b,,,,,,,,,,,,,,,,,,,,,,,Reduced-Representation Bisulfite Sequencing (RRBS-seq),RRBS-Seq,,32a31bfc-0de6-4689-b7f9-314f56af2373,,,,,,,Mouse,Mus musculus,1758,Himani Vaidya,Coriell,The Issa & Jelenik Lab,,,Intestine,BTO_0000648,UBERON_0000160,,
